Potra2n9c18661,Belongs to the protein kinase superfamily
Potra2n9c18693,calcium-binding protein
Potra2n9c18762,carboxylesterase 15
Potra2n9c18863,Protein TRANSPARENT TESTA
Potra2n9c19338,"hydrolase activity, hydrolyzing O-glycosyl compounds"
Potra2n9c19325,histone deacetylase
Potra2n9c19434,Peptidyl-prolyl cis-trans isomerase
Potra2n9c19535,"Zinc finger, C3HC4 type (RING finger)"
Potra2n9c19467,Cinnamyl alcohol dehydrogenase-like protein
Potra2n9c19623,Belongs to the universal ribosomal protein uL1 family
Potra2n9c19738,Pentatricopeptide repeat-containing protein
Potra2n9c19808,transcription initiation factor IIA
Potra2n9c19964,domain associated with HOX domains
Potra2n18c32177,Clathrin assembly protein
Potra2n18c32286,Belongs to the synaptobrevin family
Potra2n18c32575,chlorophyll(ide) b reductase NYC1
Potra2n18c33169,UDP-sugar transporter
Potra2n106s34552,Belongs to the disease resistance NB-LRR family
Potra2n4c8485,f-box protein
Potra2n4c9063,Translocation protein SEC63 homolog
Potra2n4c9172,UDP-Glycosyltransferase
Potra2n4c9521,"NAC domain protein, IPR003441 source"
Potra2n4c9428,Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Potra2n4c9582,Translational activator
Potra2n4c9749,B3 domain-containing transcription factor
Potra2n4c9870,RNA recognition motif 2
Potra2n4c10287,Belongs to the chaperonin (HSP60) family
Potra2n4c10364,Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit
Potra2n197s34901,BEST Arabidopsis thaliana protein match is COP1-interacting protein-related (TAIR AT1G72410.1)
Potra2n6c12921,cyclic nucleotide-gated ion channel
Potra2n6c13020,Plastocyanin-like domain
Potra2n6c13048,"PhoX homologous domain, present in p47phox and p40phox."
Potra2n6c13599,E3 ubiquitin-protein ligase BAH1-like
Potra2n6c13664,single fertilization
Potra2n6c13737,APO protein 2
Potra2n6c14089,Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs)
Potra2n6c14305,Transcriptional activator
Potra2n6c14346,Zinc transporter
Potra2n6c14872,Rhodanese-like domain-containing protein 9
Potra2n6c14934,GTP-binding protein TypA
Potra2n6c15075,UDP-Glycosyltransferase
